Card Name,Card Link,Card ID,archive,Information through ATE,It can be taken to EREN,Danger type 3.,Danger type 2.,Hazard type,Hazard characterization,Keywords,2. FILTRATION,Information is ready,"Document, publication related to the case 2.",Information source name/affiliation,Primary source of information,"Document, publication related to the case",Action taken,Additional measures,2. FILTER Are risk management options known?,2. FILTER Severity,2. FILTER Measure,2. FILTER Proximity in time,2. FILTRATION Groundedness,Total score of SCREENING 2,1. FILTRATION,2. RESULT OF FILTERING,Result of FILTER 1,Pre-screening,It requires confidential case management,Event type,Regularity of revaluation,"Document, publication related to the case 3.",What driver affects it?,Driver effect,1. Justification of FILTERING,Date of event (appearance of risk).,Date of access to information,Description of action,What is the reason for the increased exposure/sensitivity?,Signal,Notifiable body,Rationale for pre-screening,DRIVERs 1,HAZARDcat 1,PRODUCT 1,EREN status,HAZARDcat 2,PRODcat 2,DRIVERs 2,SOME information,2. Justification of FILTERING,It must be indicated as a partner institution,Unnamed: 53
"Alternative protein sources (artificial meat, plant-based milk stc)",https://trello.com/c/5cca919cfe3e736df0950f21,5cca919cfe3e736df0950f21,0,Ready,Done (was already on EREN),Microbiological hazard,Mikotoxin,Chemical hazard,"Hazard can derive from multiple aspects, new technologies, non-assessed existing hazards in meat replacement products (chemical, microbial) etc.",#alternativeprotein #meatreplacement #insect #plant #mushroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gut microbiome,https://trello.com/c/60f6b339a013367cb74c70e7,60f6b339a013367cb74c70e7,0,,,Veterinary medicine residue,Additive,Chemical hazard,"Compounds, chemicals can have a negative effect o the gut microbiom and potentially lead to health problems.",#gut #microbiom,Eliminated 3. (observation),True,Media appearance,EMM media monitoring,From the media,Publication,True,Communication,Not enough information,Not enough information,Not enough information,4,3,7.0,A new danger,More information is required,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,,,,,,,,,,,,,,,,,,,,,,,
Micro- and nanoplastics,https://trello.com/c/5f071454630b321f7ec4639c,5f071454630b321f7ec4639c,0,Ready,Done (was already on EREN),,Material released from packaging,Pollutant of technological origin,"The effects of micro- and nanomaterials on plants, animals and humans are not yet clear, nor is it clear whether the plastic pieces themselves or the substances that leach from them could be the cause of the problem.",#microplastics #nanoplastics #accumulation,III. PHASE,True,Publication,EMM media monitoring + EREN,From the media,Media appearance,True,Communication,3 (no),Not enough information,Not enough information,4,3,10.0,Known hazard and increased exposure,More information is required,More information is required,It will move on to PHASE I,It doesn't require,Healthcare,1 year,Lecture,"Environmental pollution, consumerism",True,"The possible health effects are not yet clear, there are many uncertainties and more information is needed.",2020-06-23T10:00:00.000Z,2020-07-01T10:00:00.000Z,,,,,,,,,,,,,,,,
Heavy metals,https://trello.com/c/632072481f2486041c83a3bc,632072481f2486041c83a3bc,0,Ready,Done (was already on EREN),Pollutant of technological origin,Pollutant of environmental origin,Chemical hazard,"Heavy metals in foods pose several significant health concerns, especially when they accumulate in the body over time. They can cause e.g. Neurological Effects: Cognitive deficits and neurodevelopmental delays in children, Cardiovascular Diseases, Kidney Damage, reproductive issues, etc.",#heavymetals #lead #nickel #carmium #arsenic #mercury,III. PHASE,True,Publication,EMM media monitoring,From the media,Media appearance,True,,1 (again),Not enough information,Not enough information,4,3,8.0,New evidence for hazard characterization,Eliminated 3. (observation),II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,,,"Industrialization, environmental pollution.",True,,,,,,,,,,,,,,,,,,,
Microbial safety of ready-to-eat (RTE) foods,https://trello.com/c/5f1e9f06eab3be651622e1e6,5f1e9f06eab3be651622e1e6,0,Ready,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food from waste/Circular economy,https://trello.com/c/63f49bafebd9aa7ca74764a3,63f49bafebd9aa7ca74764a3,0,Ready,,Microbiological hazard,Biological hazard,Chemical hazard,"New technologies, emerging risks are not known, mainly existing chemical, biological and microbiological risks may arise.",#waste #circular #byproducts,III. PHASE,True,Publication,EMM,From the media,Media appearance,True,Communication,Not enough information,Not enough information,Not enough information,2,3,5.0,Known hazard and increased exposure,Eliminated 3. (observation),II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,,,Circular economy.,True,,,,,,,,,,,,,,,,,,,
Dog and cat food collection card,https://trello.com/c/61dd99e033c26d8f09bfa44c,61dd99e033c26d8f09bfa44c,0,Ready,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migration From Food Contact Materials,https://trello.com/c/62025cc4b20389551fd00bba,62025cc4b20389551fd00bba,0,Ready,,,Chemical hazard,Material released from packaging,"Harmful compounds, chemicals, and other materials can migrate into food, potentially causing food safety issues.",#FCM #Foodcontactmaterial #Foodmigration,,True,Legislation,,From a professional journal,Publication,True,Communication,1 (again),2,3,3,3,12.0,,,,,,Healthcare,,,,,,,2022-02-08T11:00:00.000Z,ATE website communication,,,,,,,,,,,,,,,
Antimicrobial Resistance Collection Card,https://trello.com/c/601a6fab9904dd1fe699a2b9,601a6fab9904dd1fe699a2b9,0,Ready,,,Bacterium,Microbiological hazard,Antimicrobial resistance (AMR) is a growing global threat which could cause the death of tens of thounds of people annually.,#AMR #antimicrobial#resistance,,True,Legislation,,From a professional journal,Publication,True,Communication,1 (again),4,3,3,4,15.0,,,,,It doesn't require,Healthcare,,,,,,2021-02-01T11:00:00.000Z,2021-02-01T11:00:00.000Z,ATE website communication,Excessive use of antibiotics,,,,,,,,,,,,,,
Insects as food and feed,https://trello.com/c/6475afe5657c02efbb8b88bf,6475afe5657c02efbb8b88bf,0,,,Other,Microbiological hazard,Chemical hazard,"Various hazards: chemical, microbial, allergenicity",#insect #alternativeprotein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweeteners,https://trello.com/c/649547e6709e2cd14ae22c28,649547e6709e2cd14ae22c28,0,,,,,,"Higher levels of erythritol in plasma were linked to higher risk of heart attack and stroke, sucralose can reduce T cell function, sucralose-6-acetate increases the expression of genes associated with inflammation, oxidative stress, and cancer, WHO do not recommend the use of non-sugar sweeteners to control body weight or reduce the risk of non-communicable diseases, possible link between aspartame and liver cancer","#zero calorie, #sugar alcohol, #cardiavascular risk #sucralose #reduced T cell function # autoimmune disorders # sucralose-6-acetate #inflammation #oxidative stress #cancer #WHO #non-sugar sweeteners #aspartame #liver cancer #safe within the approved limits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
